Name,Size,Type,Environment
Animated Armor,medium,construct,ruins
Animated Armor,medium,construct,urban
Animated instrument,tiny,construct,farmland
Animated instrument,tiny,construct,urban
"Animated instrument, symphony",gargantuan,swarm,urban
Animated offal,huge,ooze,any
Animators Staff,small,construct,dungeon
Animators Staff,small,construct,ruins
Animators Staff,small,construct,urban
Animators Wand,tiny,construct,dungeon
Animators Wand,tiny,construct,ruins
Animators Wand,tiny,construct,urban
Ankheg Queen (A5E),huge,monstrosity,desert
Ankheg Queen (A5E),huge,monstrosity,grassland
Ankheg Queen (A5E),huge,monstrosity,hills
Ankheg Queen (A5E),huge,monstrosity,settlement
Ankheg Spawn (A5E),medium,monstrosity,desert
Ankheg Spawn (A5E),medium,monstrosity,grassland
Ankheg Spawn (A5E),medium,monstrosity,hills
Ankheg Spawn (A5E),medium,monstrosity,settlement
Ankylosaurus,huge,beast,grassland
Ankylosaurus (A5E),huge,beast,grassland
Ankylosaurus (A5E),huge,beast,jungle
Ankylosaurus (A5E),huge,beast,mountains
Ankylosaurus (A5E),huge,beast,swamp
Annis Hag,large,fey,grassland
Annis Hag,large,fey,mountain
Ant Lion,large,beast,desert
Ape,medium,beast,forest
Ape (A5E),medium,beast,jungle
Apostle,medium,humanoid,any
Apostle,medium,humanoid,urban
Apprentice Mage (A5E),medium,humanoid,laboratory
Apprentice Mage (A5E),medium,humanoid,settlement
Apprentice Wizard,medium,humanoid,urban
Arboreal Grappler,medium,aberration,forests
Arcane Blademaster (A5E),medium,humanoid,laboratory
Arcane Blademaster (A5E),medium,humanoid,mountains
Arcane Blademaster (A5E),medium,humanoid,settlement
Arcane leviathan,gargantuan,construct,underwater
Arcane scavenger,large,construct,badlands
Arcanoplasm,large,monstrosity,underground
Archdruid,medium,humanoid,forest
Archdruid,medium,humanoid,mountain
Archdruid,medium,humanoid,swamp
Archdruid,medium,humanoid,aquatic
Archfey (A5E),medium,fey,feywild
Archfey (A5E),medium,fey,forest
Archfey (A5E),medium,fey,swamp
Archmage,medium,humanoid,ruins
Archmage,medium,humanoid,urban
"Archon, siege",huge,celestial,planar
"Archon, siege",huge,celestial,urban
"Archon, ursan",large,celestial,any
"Archon, ursan",large,celestial,planar
"Archon, word",tiny,celestial,planar
Archpriest (A5E),medium,humanoid,settlement
Archpriest (A5E),medium,humanoid,temple
Arenea,large,monstrosity,cave
Arenea,large,monstrosity,dungeon
Arenea,large,monstrosity,forest
Asanbosam,large,aberration,forests
Ascetic Grandmaster (A5E),medium,humanoid,desert
Ascetic Grandmaster (A5E),medium,humanoid,mountains
Ascetic Grandmaster (A5E),medium,humanoid,settlement
Ascetic Grandmaster (A5E),medium,humanoid,temple
Ascomoid,large,plant,underground
Ash Drake,small,dragon,mountains
Ash Drake,small,dragon,urban
Asp vine,medium,plant,badlands
Asp vine,medium,plant,forest
Assassin,medium,humanoid,arctic
Assassin,medium,humanoid,cave
Assassin,medium,humanoid,coast
Assassin,medium,humanoid,desert
Assassin,medium,humanoid,dungeon
Assassin,medium,humanoid,forest
Assassin,medium,humanoid,grassland
Assassin,medium,humanoid,mountain
Assassin,medium,humanoid,ruins
Assassin,medium,humanoid,swamp
Assassin,medium,humanoid,underground
Assassin,medium,humanoid,urban
Assassin Bug,medium,beast,forest
Astral Moth,large,monstrosity,forest
Astral Shark,large,fiend,planar
Astralsupial,medium,beast,forest
Astralsupial,medium,beast,swamp
Atavist,medium,humanoid,any
Atavist,medium,humanoid,urban
Atuikakura,gargantuan,monstrosity,aquatic
Atuikakura,gargantuan,monstrosity,coastal
Aural hunter,large,aberration,mountains
Aural hunter,large,aberration,planar
Aural hunter,large,aberration,underground
Aurochs,large,beast,grassland
Aurochs,large,beast,mountain
Avestruzii,medium,humanoid,grassland
Avestruzii,medium,humanoid,planar
Avestruzii champion,medium,humanoid,grassland
Avestruzii champion,medium,humanoid,planar
Awakened Shrub,small,plant,forest
Awakened Shrub,small,plant,grassland
Awakened Shrub (A5E),small,plant,forest
Awakened Shrub (A5E),small,plant,jungle
Awakened Shrub (A5E),small,plant,laboratory
Awakened Shrub (A5E),small,plant,swamp
Awakened Tree,huge,plant,forest
Awakened Tree (A5E),huge,plant,forest
Awakened Tree (A5E),huge,plant,jungle
Awakened Tree (A5E),huge,plant,swamp
Axe Beak,large,beast,grassland
Axe Beak (A5E),large,beast,forest
Axe Beak (A5E),large,beast,grassland
Axe Beak (A5E),large,beast,swamp
Azer,medium,elemental,planar
Azer,medium,elemental,underground
Azer (A5E),medium,elemental,caverns
Azer (A5E),medium,elemental,plane of fire
Azer Artisan,medium,elemental,planar
Azer Artisan,medium,elemental,underground
Azer Forgemaster (A5E),medium,elemental,caverns
Azer Forgemaster (A5E),medium,elemental,plane of fire
Azer Lord,medium,elemental,planar
Azer Lord,medium,elemental,underground
Aziza,tiny,fey,forest
Babau,medium,fiend,underground
Babau,medium,fiend,urban
Baboon,small,beast,forest
Baboon,small,beast,grassland
Baboon (A5E),small,beast,grassland
Baboon (A5E),small,beast,jungle
Badger,tiny,beast,forest
Badger (A5E),tiny,beast,forest
Badger (A5E),tiny,beast,grassland
Bakekujira,gargantuan,undead,coastal
Bakekujira,gargantuan,undead,aquatic
Baleful miasma,medium,elemental,any
Balor (A5E),huge,fiend,abyss
Balor General (A5E),huge,fiend,abyss
Banderhobb,large,monstrosity,urban
Bandit,medium,humanoid,arctic
Bandit,medium,humanoid,coast
Bandit,medium,humanoid,desert
Bandit,medium,humanoid,forest
Bandit,medium,humanoid,grassland
Bandit,medium,humanoid,mountain
Bandit,medium,humanoid,ruins
Bandit,medium,humanoid,urban
Bandit (A5E),medium,humanoid,caverns
Bandit (A5E),medium,humanoid,desert
Bandit (A5E),medium,humanoid,forest
Bandit (A5E),medium,humanoid,grassland
Bandit (A5E),medium,humanoid,hills
Bandit (A5E),medium,humanoid,jungle
Bandit (A5E),medium,humanoid,laboratory
Bandit (A5E),medium,humanoid,mountains
Bandit (A5E),medium,humanoid,ruin
Bandit (A5E),medium,humanoid,settlement
Bandit (A5E),medium,humanoid,sewer
Bandit (A5E),medium,humanoid,swamp
Bandit (A5E),medium,humanoid,tundra
Bandit Captain,medium,humanoid,arctic
Bandit Captain,medium,humanoid,coast
Bandit Captain,medium,humanoid,desert
Bandit Captain,medium,humanoid,forest
Bandit Captain,medium,humanoid,grassland
Bandit Captain,medium,humanoid,mountain
Bandit Captain,medium,humanoid,ruins
Bandit Captain,medium,humanoid,urban
Bandit Captain (A5E),medium,humanoid,caverns
Bandit Captain (A5E),medium,humanoid,desert
Bandit Captain (A5E),medium,humanoid,forest
Bandit Captain (A5E),medium,humanoid,grassland
Bandit Captain (A5E),medium,humanoid,hills
Bandit Captain (A5E),medium,humanoid,jungle
Bandit Captain (A5E),medium,humanoid,laboratory
Bandit Captain (A5E),medium,humanoid,mountains
Bandit Captain (A5E),medium,humanoid,ruin
Bandit Captain (A5E),medium,humanoid,settlement
Bandit Captain (A5E),medium,humanoid,sewer
Bandit Captain (A5E),medium,humanoid,swamp
Bandit Captain (A5E),medium,humanoid,tundra
Bannik,medium,fey,urban
Banshee (A5E),medium,undead,ethereal plane
Banshee (A5E),medium,undead,forest
Banshee (A5E),medium,undead,ruin
Banshee (A5E),medium,undead,shadowfell
Banshee (A5E),medium,undead,swamp
Banshee (A5E),medium,undead,tomb
Barbed Devil,medium,fiend,dungeon
Barbed Devil,medium,fiend,planar
Barbed Devil (A5E),medium,fiend,hell
Bard,medium,humanoid,urban
Barghest,large,fiend,forest
Barghest,large,fiend,grassland
Barghest,large,fiend,mountain
Barghest,large,fiend,underground
Barlgura,large,fiend,dungeon
Barlgura,large,fiend,planar
Basilisk,medium,monstrosity,arctic
Basilisk,medium,monstrosity,cave
Basilisk,medium,monstrosity,coast
Basilisk,medium,monstrosity,desert
Basilisk,medium,monstrosity,dungeon
Basilisk,medium,monstrosity,forest
Basilisk,medium,monstrosity,grassland
Basilisk,medium,monstrosity,mountain
Basilisk,medium,monstrosity,ruins
Basilisk,medium,monstrosity,swamp
Basilisk,medium,monstrosity,underground
Bastet Temple Cat,small,monstrosity,urban
Bat,tiny,beast,cave
Bat,tiny,beast,forest
Bat,tiny,beast,mountain
Bat,tiny,beast,underground
Bat,tiny,beast,urban
Bat (A5E),tiny,beast,caverns
Bat (A5E),tiny,beast,forest
Beach weird,large,elemental,coastal
Bear King,medium,fey,forests
Bear King,medium,fey,hills
Bearded Devil,medium,fiend,dungeon
Bearded Devil,medium,fiend,planar
Bearded Devil (A5E),medium,fiend,hell
Bearfolk,medium,humanoid,forests
Bearfolk thunderstomper,medium,humanoid,any
"Beetle, clacker soldier",small,beast,underground
"Beetle, clacker swarm",medium,swarm,underground
Behir,huge,monstrosity,cave
Behir,huge,monstrosity,mountain
Behir,huge,monstrosity,underground
Behir Magus (A5E),huge,monstrosity,caverns
Behir Magus (A5E),huge,monstrosity,plane of earth
Behir Magus (A5E),huge,monstrosity,ruin
Beholder,large,aberration,cave
Beholder,large,aberration,dungeon
Beholder,large,aberration,underground
Beholder (in lair),large,aberration,cave
Beholder (in lair),large,aberration,dungeon
Beholder (in lair),large,aberration,underground
Beholder Zombie,large,undead,cave
Beholder Zombie,large,undead,dungeon
Beholder Zombie,large,undead,underground
Behtu,small,humanoid,forests
Belu,huge,giant,forest
Belu,huge,giant,swamp
Berberoka,large,giant,swamp
Bereginyas,tiny,fey,mountains
Berserker,medium,humanoid,arctic
Berserker,medium,humanoid,cave
Berserker,medium,humanoid,desert
Berserker,medium,humanoid,forest
Berserker,medium,humanoid,grassland
Berserker,medium,humanoid,mountain
Berserker,medium,humanoid,swamp
Berserker,medium,humanoid,urban
Berserker (A5E),medium,humanoid,desert
Berserker (A5E),medium,humanoid,forest
Berserker (A5E),medium,humanoid,grassland
Berserker (A5E),medium,humanoid,hills
Berserker (A5E),medium,humanoid,jungle
Berserker (A5E),medium,humanoid,mountains
Berserker (A5E),medium,humanoid,swamp
Berserker (A5E),medium,humanoid,tundra
Bewailer,medium,undead,dungeon
Bewailer,medium,undead,forest
Bewailer,medium,undead,ruins
Bewailer,medium,undead,swamp
Bheur Hag,medium,fey,arctic
Biclops,huge,giant,mountain
Birgemon seal,medium,aberration,arctic
Birgemon seal,medium,aberration,underwater
Black Bear (A5E),medium,beast,forest
Black Bear (A5E),medium,beast,mountains
Black Dragon Wyrmling,medium,dragon,swamp
Black Dragon Wyrmling (A5E),medium,dragon,swamp
Black Earth Priest,medium,humanoid,arctic
Black Earth Priest,medium,humanoid,cave
Black Earth Priest,medium,humanoid,coast
Black Earth Priest,medium,humanoid,desert
Black Earth Priest,medium,humanoid,dungeon
Black Earth Priest,medium,humanoid,forest
Black Earth Priest,medium,humanoid,grassland
Black Earth Priest,medium,humanoid,mountain
Black Earth Priest,medium,humanoid,ruins
Black Earth Priest,medium,humanoid,underground
Black Great Wyrm (A5E),gargantuan,dragon,lake
Black Great Wyrm (A5E),gargantuan,dragon,swamps
Black patch,large,ooze,swamp
Black Pudding,large,ooze,dungeon
Black shuck,large,fiend,farmland
Blackguard,medium,humanoid,underground
Blackguard,medium,humanoid,urban
Blackguard (A5E),medium,humanoid,grassland
Blackguard (A5E),medium,humanoid,hills
Blackguard (A5E),medium,humanoid,mountains
Blackguard (A5E),medium,humanoid,settlement
Blackguard (A5E),medium,humanoid,temple
Blaspheming hand,large,fiend,any
Blemmyes,large,monstrosity,hills
Blemmyes,large,monstrosity,mountains
Blestsessebe,large,celestial,grassland
Blestsessebe,large,celestial,planar
Blink Dog,medium,fey,forest
Blink Dog,medium,fey,grassland
Blink Dog (A5E),medium,fey,feywild
Blink Dog (A5E),medium,fey,forest
Blink Dog (A5E),medium,fey,grassland
Blink Dog (A5E),medium,fey,jungle
Blood barnacle,tiny,beast,coastal
Blood barnacle,tiny,beast,underwater
Blood flurry,medium,swarm,arctic
Blood Hawk,small,monstrosity,forest
Blood Hawk,small,monstrosity,grassland
Blood Hawk,small,monstrosity,mountain
Blood Orchid,large,aberration,underground
Blood Orchid Grand Savant,huge,aberration,underground
Blood Orchid Savant,large,aberration,underground
Bloodhawk (A5E),small,beast,desert
Bloodhawk (A5E),small,beast,forest
Bloodhawk (A5E),small,beast,grassland
Bloodhawk (A5E),small,beast,hills
Bloodhawk (A5E),small,beast,jungle
Bloodhawk (A5E),small,beast,mountains
Bloodhawk (A5E),small,beast,swamp
Bloodhawk (A5E),small,beast,tundra
Bloodsuckle,large,plant,forest
Bloodsuckle,large,plant,grassland
Bloody Bones,medium,monstrosity,cave
Bloody Bones,medium,monstrosity,ruins
Blue Dragon Wyrmling,medium,dragon,desert
Blue Dragon Wyrmling (A5E),medium,dragon,desert
Blue Great Wyrm (A5E),gargantuan,dragon,caves
Blue Great Wyrm (A5E),gargantuan,dragon,coastal
Blue Great Wyrm (A5E),gargantuan,dragon,desert
Blue Great Wyrm (A5E),gargantuan,dragon,oasis
Blue Slaad,large,aberration,planar
Boalisk,large,monstrosity,aquatic
Boalisk,large,monstrosity,forest
Boar,medium,beast,forest
Boar,medium,beast,grassland
Boar (A5E),medium,beast,forest
Bodak,medium,undead,swamp
Bodak,medium,undead,underground
Bodak,medium,undead,urban
Boggard (A5E),medium,humanoid,jungle
Boggard (A5E),medium,humanoid,plane of water
Boggard (A5E),medium,humanoid,sewer
Boggard (A5E),medium,humanoid,swamp
Boggard Bravo (A5E),medium,humanoid,jungle
Boggard Bravo (A5E),medium,humanoid,plane of water
Boggard Bravo (A5E),medium,humanoid,sewer
Boggard Bravo (A5E),medium,humanoid,swamp
Boloti,tiny,fey,marshes
Bolt-Thrower (A5E),small,construct,laboratory
Bolt-Thrower (A5E),small,construct,ruin
Bolt-Thrower (A5E),small,construct,sewer
